Splits	Weights	BYRD_R_Dem	INOUYE_D_Dem	THURMOND_J_Rep	PRYOR_D_Dem	KENNEDY_E_Dem	PELL_C_Dem	ROTH_W_Rep	HATFIELD_M_Rep	HOLLINGS_E_Dem	STEVENS_T_Rep	SARBANES_P_Dem	BREAUX_J_Dem	COCHRAN_W_Rep	COHEN_W_Rep	LOTT_C_Rep	BIDEN_J_Dem	DOMENICI_P_Rep	HELMS_J_Rep	JOHNSTON_J_Dem	NUNN_S_Dem	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	JEFFORDS_J_Rep	PRESSLER_L_Rep	SIMON_P_Dem	BUMPERS_D_Dem	FORD_W_Dem	GLENN_J_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	CHAFEE_J_Rep	LUGAR_R_Rep	MOYNIHAN_D_Dem	DASCHLE_T_Dem	GRAMM_W_Rep	SNOWE_O_Rep	BRADLEY_W_Dem	EXON_J_Dem	HEFLIN_H_Dem	KASSEBAUM_N_Rep	LEVIN_C_Dem	SIMPSON_A_Rep	WARNER_J_Rep	BROWN_G_Rep	COATS_D_Rep	CRAIG_L_Rep	DORGAN_B_Dem	GREGG_J_Rep	DAMATO_A_Rep	GORTON_T_Rep	MURKOWSKI_F_Rep	NICKLES_D_Rep	SPECTER_A_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	DeWINE_M_Rep	MACK_C_Rep	McCAIN_J_Rep	REID_H_Dem	SMITH_R_Rep	INHOFE_J_Rep	KYL_J_Rep	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	THOMAS_C_Rep	BRYAN_R_Dem	BURNS_C_Rep	KERREY_J_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	ROBB_C_Dem	SANTORUM_R_Rep	GRAMS_R_Rep	WELLSTONE_P_Dem	FEINSTEIN_D_Dem	COVERDELL_P_Rep	KEMPTHORNE_D_Rep	MOSELEY_BRAUN_C_Dem	FAIRCLOTH_D_Rep	HUTCHISON_K_Rep	BENNETT_R_Rep	MURRAY_P_Dem	FEINGOLD_R_Dem	ABRAHAM_S_Rep	ASHCROFT_J_Rep	FRIST_W_Rep	THOMPSON_F_Rep	SHELBY_R_Rep	CLINTON_W_Dem
1	55.52002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	19.506599	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	4.58961	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
4	.828623	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
5	94.309105	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	52.251743	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	2.444705	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
8	.30191	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
9	5.408527	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
10	.486116	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
