Splits	Weights	BYRD_R_Dem	INOUYE_D_Dem	THURMOND_J_Rep	KENNEDY_E_Dem	ROTH_W_Rep	HOLLINGS_E_Dem	STEVENS_T_Rep	SARBANES_P_Dem	BREAUX_J_Dem	COCHRAN_W_Rep	LOTT_C_Rep	BIDEN_J_Dem	DOMENICI_P_Rep	HELMS_J_Rep	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	JEFFORDS_J_Rep	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	LUGAR_R_Rep	MOYNIHAN_D_Dem	DASCHLE_T_Dem	GRAMM_W_Rep	SNOWE_O_Rep	LEVIN_C_Dem	WARNER_J_Rep	CRAIG_L_Rep	DORGAN_B_Dem	GREGG_J_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	GORTON_T_Rep	MURKOWSKI_F_Rep	NICKLES_D_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	DeWINE_M_Rep	DURBIN_R_Dem	MACK_C_Rep	McCAIN_J_Rep	REID_H_Dem	TORRICELLI_R_Dem	SMITH_R_Rep	BUNNING_J_Rep	INHOFE_J_Rep	JOHNSON_T_Dem	KYL_J_Rep	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	THOMAS_C_Rep	BRYAN_R_Dem	BURNS_C_Rep	KERREY_J_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	ROBB_C_Dem	ALLARD_A_Rep	SANTORUM_R_Rep	REED_J_Dem	LINCOLN_B_Dem	HUTCHINSON_T_Rep	CRAPO_M_Rep	GRAMS_R_Rep	BROWNBACK_S_Rep	WELLSTONE_P_Dem	FEINSTEIN_D_Dem	HUTCHISON_K_Rep	BENNETT_R_Rep	MURRAY_P_Dem	FEINGOLD_R_Dem	ABRAHAM_S_Rep	ASHCROFT_J_Rep	FRIST_W_Rep	THOMPSON_F_Rep	SESSIONS_J_Rep	CLELAND_J_Dem	LANDRIEU_M_Dem	COLLINS_S_Rep	HAGEL_C_Rep	SMITH_G_Rep	ENZI_M_Rep	FITZGERALD_P_Rep	BAYH_E_Dem	EDWARDS_J_Dem	VOINOVICH_G_Rep	SHELBY_R_Rep	CAMPBELL_B_Rep	CLINTON_W_Dem
1	43.434021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	.553164	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1
3	2.543827	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1
4	4.391834	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1
5	3.377445	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1
6	.017539	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1
7	6.004966	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1
8	3.930044	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1
9	3.454508	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1
10	49.092133	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	40.002079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
