Splits	Weights	COCHRAN_W_Rep	GRASSLEY_C_Rep	LEAHY_P_Dem	MARKEY_E_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	NELSON_C_Dem	COATS_D_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	McCONNELL_A_Rep	BOXER_B_Dem	CARPER_T_Dem	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	CARDIN_B_Dem	INHOFE_J_Rep	FLAKE_J_Rep	BOOZMAN_J_Rep	KIRK_M_Rep	CAPITO_S_Rep	MURPHY_C_Dem	HIRONO_M_Dem	DONNELLY_J_Dem	HELLER_D_Rep	GILLIBRAND_K_Dem	CASSIDY_B_Rep	PETERS_G_Dem	HEINRICH_M_Dem	GARDNER_C_Rep	LANKFORD_J_Rep	SCOTT_T_Rep	COTTON_T_Rep	DAINES_S_Rep	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	WICKER_R_Rep	BURR_R_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	ISAKSON_J_Rep	VITTER_D_Rep	UDALL_T_Dem	TOOMEY_P_Rep	BALDWIN_T_Dem	CANTWELL_M_Dem	MURKOWSKI_L_Rep	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	BARRASSO_J_Rep	RISCH_J_Rep	FRANKEN_A_Dem	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	AYOTTE_K_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	FISCHER_D_Rep	HEITKAMP_M_Dem	CRUZ_R_Rep	KAINE_T_Dem	BOOKER_C_Dem	SULLIVAN_D_Rep	PERDUE_D_Rep	ERNST_J_Rep	SASSE_B_Rep	TILLIS_T_Rep	ROUNDS_M_Rep	FEINSTEIN_D_Dem	MURRAY_P_Dem	SESSIONS_J_Rep	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep
1	17.674572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	17.846189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	16.575916	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	5.135077	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0
5	2.65199	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0
6	1.800357	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0
7	2.658793	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0
8	.002423	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0
9	14.113187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
10	3.401581	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
