Splits	Weights	GRASSLEY_C_Rep	ROBERTS_C_Rep	McCONNELL_A_Rep	INHOFE_J_Rep	BOOZMAN_J_Rep	CAPITO_S_Rep	BLACKBURN_M_Rep	CASSIDY_B_Rep	GARDNER_C_Rep	YOUNG_T_Rep	LANKFORD_J_Rep	SCOTT_T_Rep	COTTON_T_Rep	DAINES_S_Rep	CRAMER_K_Rep	CRAPO_M_Rep	PORTMAN_R_Rep	WICKER_R_Rep	BURR_R_Rep	GRAHAM_L_Rep	MORAN_J_Rep	BLUNT_R_Rep	THUNE_J_Rep	TOOMEY_P_Rep	MURKOWSKI_L_Rep	ALEXANDER_L_Rep	CORNYN_J_Rep	BARRASSO_J_Rep	RISCH_J_Rep	RUBIO_M_Rep	PAUL_R_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	FISCHER_D_Rep	CRUZ_R_Rep	SULLIVAN_D_Rep	PERDUE_D_Rep	ERNST_J_Rep	SASSE_B_Rep	TILLIS_T_Rep	ROUNDS_M_Rep	KENNEDY_J_Rep	HYDE-SMITH_C_Rep	BRAUN_M_Rep	HAWLEY_J_Rep	ROMNEY_W_Rep	SCOTT_R_Rep	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep
1	8.203265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	.516557	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	1.49483	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	.013357	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
5	.403463	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1
6	.524396	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1
7	13.627752	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	10.136389	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	.680478	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	.239049	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
